idx,KEEP,ITEM,IMAGE,ID,CATEGORY,LEVEL_UPGRADE,REQ_LEVEL,EXCELLENT_BITMASK_INFERRED,EXCELLENT_COUNT_INFERRED,ANCIENT_SET_OPTION,HARMONY,SOCKET_COUNT,DURATION_DAYS,COIN0,COIN1,COIN2,QTY,CLASS,DAMAGE,CURRENT_RISK,RECOMMEND,NOTES
22,UNREVIEWED,NOT_AVAILABLE,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=9",Axes,13,NOT_AVAILABLE,63,6,0,0,0,PERMANENT,25000,50,0,1,NOT_AVAILABLE,N/A_NON_WEAPON_OR_UNRESOLVED,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED; NAME_LOOKUP_FAILED_NOT_AVAILABLE,NOT_AVAILABLE,Name lookup failed against Item.txt at this Type/Slot key — likely a slot that does not exist in the base item table (confirm with GameServer source or in-game inspection before assuming a data error).
23,UNREVIEWED,NOT_AVAILABLE,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=10",Axes,13,NOT_AVAILABLE,63,6,0,0,0,PERMANENT,25000,50,0,1,NOT_AVAILABLE,N/A_NON_WEAPON_OR_UNRESOLVED,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED; NAME_LOOKUP_FAILED_NOT_AVAILABLE,NOT_AVAILABLE,Name lookup failed against Item.txt at this Type/Slot key — likely a slot that does not exist in the base item table (confirm with GameServer source or in-game inspection before assuming a data error).
24,UNREVIEWED,NOT_AVAILABLE,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=11",Axes,13,NOT_AVAILABLE,63,6,0,0,0,PERMANENT,25000,50,0,1,NOT_AVAILABLE,N/A_NON_WEAPON_OR_UNRESOLVED,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED; NAME_LOOKUP_FAILED_NOT_AVAILABLE,NOT_AVAILABLE,Name lookup failed against Item.txt at this Type/Slot key — likely a slot that does not exist in the base item table (confirm with GameServer source or in-game inspection before assuming a data error).
25,UNREVIEWED,Mace,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=0",Scepters,13,0,63,6,0,0,0,PERMANENT,10000,30,10,1,DK/MG/DL/RF,7-13,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
26,UNREVIEWED,Morning Star,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=1",Scepters,13,0,63,6,0,0,0,PERMANENT,20000,30,10,1,DK/MG/DL/RF,13-22,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
27,UNREVIEWED,Flail,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=2",Scepters,13,0,63,6,0,0,0,PERMANENT,30000,30,10,1,DK/MG/DL/RF,22-32,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
28,UNREVIEWED,Great Hammer,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=3",Scepters,13,0,63,6,0,0,0,PERMANENT,15000,30,10,1,DK/MG/RF,45-56,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
29,UNREVIEWED,Crystal Morning Star,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=4",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,DW/DK/FE/MG/RF,78-107,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
30,UNREVIEWED,Crystal Sword,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=5",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,DW/DK/FE/MG,89-120,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
31,UNREVIEWED,Chaos Dragon Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=6",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,DK/MG,102-130,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
32,UNREVIEWED,Elemental Mace,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=7",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,NONE_FLAGGED,62-80,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
33,UNREVIEWED,Battle Scepter,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=8",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,DL,41-52,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
34,UNREVIEWED,Master Scepter,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=9",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,DL,57-68,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
35,UNREVIEWED,Great Scepter,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=10",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,DL,74-85,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
36,UNREVIEWED,Lord Scepter,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=2,index=11",Scepters,13,0,63,6,0,0,0,PERMANENT,25000,30,10,1,DL,91-102,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
37,UNREVIEWED,Light Spear,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=0",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,50-63,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
38,UNREVIEWED,Spear,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=1",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,30-41,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
39,UNREVIEWED,Dragon Lance,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=2",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,21-33,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
40,UNREVIEWED,Giant Trident,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=3",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,35-43,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
41,UNREVIEWED,Serpent Spear,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=4",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,58-80,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
42,UNREVIEWED,Double Poleaxe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=5",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,19-31,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
43,UNREVIEWED,Halberd,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=6",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,25-35,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
44,UNREVIEWED,Berdysh,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=7",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,42-54,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
45,UNREVIEWED,Great Scythe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=8",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,71-92,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
46,UNREVIEWED,Bill of Balrog,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=9",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,DK/FE/MG,76-102,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
47,UNREVIEWED,Dragon Spear,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=10",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,NONE_FLAGGED,112-140,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
48,UNREVIEWED,Brova,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=3,index=11",Spears,13,0,63,6,0,0,0,PERMANENT,0,100,0,1,MG,190-226,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
49,UNREVIEWED,Short Bow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=0",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,3-5,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
50,UNREVIEWED,Bow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=1",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,9-13,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
51,UNREVIEWED,Elven Bow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=2",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,17-24,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
52,UNREVIEWED,Battle Bow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=3",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,28-37,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
53,UNREVIEWED,Tiger Bow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=4",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,42-52,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
54,UNREVIEWED,Silver Bow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=5",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,59-71,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
55,UNREVIEWED,Chaos Nature Bow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=6",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,88-106,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
56,UNREVIEWED,Bolt,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=7",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,0-0,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
57,UNREVIEWED,Crossbow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=8",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,5-8,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
58,UNREVIEWED,Golden Crossbow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=9",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,13-19,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
59,UNREVIEWED,Arquebus,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=10",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,22-30,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
60,UNREVIEWED,Light Crossbow,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=4,index=11",Bows/CrosBows,13,0,63,6,0,0,0,PERMANENT,0,0,200,1,FE,35-44,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
61,UNREVIEWED,Skull Staff,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=5,index=0",Staffs,13,0,63,6,0,0,0,PERMANENT,10000,0,0,1,DW/MG/SU,3-4,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
62,UNREVIEWED,Angelic Staff,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=5,index=1",Staffs,13,0,63,6,0,0,0,PERMANENT,20000,0,0,1,DW/MG,10-12,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
63,UNREVIEWED,Serpent Staff,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=5,index=2",Staffs,13,0,63,6,0,0,0,PERMANENT,30000,0,0,1,DW/MG,17-18,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
64,UNREVIEWED,Thunder Staff,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=5,index=3",Staffs,13,0,63,6,0,0,0,PERMANENT,15000,0,0,1,DW/MG,23-25,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
65,UNREVIEWED,Gorgon Staff,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=5,index=4",Staffs,13,0,63,6,0,0,0,PERMANENT,25000,0,0,1,DW/MG,29-32,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
