ID,GROUP,CATEGORY,ITEM,TECHNICAL_ID,CURRENT_PRICE,DURATION,KEY_OPTIONS,POWER_IMPACT,PRELIMINARY_CLASSIFICATION,REASON,DATA_CONFIDENCE,BRYAN_DECISION
11,GROUP 1 -- Weapons,Swords,Light Saber,"type=0,index=10",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
12,GROUP 1 -- Weapons,Swords,Legendary Sword,"type=0,index=11",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
13,GROUP 1 -- Weapons,Axes,Small Axe,"type=1,index=0",WCoinC=10000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
14,GROUP 1 -- Weapons,Axes,Hand Axe,"type=1,index=1",WCoinC=20000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
15,GROUP 1 -- Weapons,Axes,Double Axe,"type=1,index=2",WCoinC=30000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
16,GROUP 1 -- Weapons,Axes,Tomahawk,"type=1,index=3",WCoinC=15000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
17,GROUP 1 -- Weapons,Axes,Elven Axe,"type=1,index=4",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
18,GROUP 1 -- Weapons,Axes,Battle Axe,"type=1,index=5",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
19,GROUP 1 -- Weapons,Axes,Nikea Axe,"type=1,index=6",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
20,GROUP 1 -- Weapons,Axes,Larkan Axe,"type=1,index=7",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
21,GROUP 1 -- Weapons,Axes,Crescent Axe,"type=1,index=8",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
22,GROUP 10 -- Unknown / data gaps,Axes,NOT_AVAILABLE,"type=1,index=9",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,N/A -- item unresolved,POWER_IMPACT_UNKNOWN,UNKNOWN_DATA_GAP,"No corresponding Item.txt row exists for this ItemType/ItemIndex (re-confirmed via a fresh CustomXShop.txt + Item.txt download this phase) -- item identity itself is unresolved, so no power/commercial call can be made.",UNKNOWN_DATA_GAP,PENDING
23,GROUP 10 -- Unknown / data gaps,Axes,NOT_AVAILABLE,"type=1,index=10",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,N/A -- item unresolved,POWER_IMPACT_UNKNOWN,UNKNOWN_DATA_GAP,"No corresponding Item.txt row exists for this ItemType/ItemIndex (re-confirmed via a fresh CustomXShop.txt + Item.txt download this phase) -- item identity itself is unresolved, so no power/commercial call can be made.",UNKNOWN_DATA_GAP,PENDING
24,GROUP 10 -- Unknown / data gaps,Axes,NOT_AVAILABLE,"type=1,index=11",WCoinC=25000 / WCoinP=50 / GoblinPoint=0,Permanent,N/A -- item unresolved,POWER_IMPACT_UNKNOWN,UNKNOWN_DATA_GAP,"No corresponding Item.txt row exists for this ItemType/ItemIndex (re-confirmed via a fresh CustomXShop.txt + Item.txt download this phase) -- item identity itself is unresolved, so no power/commercial call can be made.",UNKNOWN_DATA_GAP,PENDING
25,GROUP 1 -- Weapons,Scepters,Mace,"type=2,index=0",WCoinC=10000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
26,GROUP 1 -- Weapons,Scepters,Morning Star,"type=2,index=1",WCoinC=20000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
27,GROUP 1 -- Weapons,Scepters,Flail,"type=2,index=2",WCoinC=30000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
28,GROUP 1 -- Weapons,Scepters,Great Hammer,"type=2,index=3",WCoinC=15000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
29,GROUP 1 -- Weapons,Scepters,Crystal Morning Star,"type=2,index=4",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
30,GROUP 1 -- Weapons,Scepters,Crystal Sword,"type=2,index=5",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
31,GROUP 1 -- Weapons,Scepters,Chaos Dragon Axe,"type=2,index=6",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
32,GROUP 1 -- Weapons,Scepters,Elemental Mace,"type=2,index=7",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
33,GROUP 1 -- Weapons,Scepters,Battle Scepter,"type=2,index=8",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
34,GROUP 1 -- Weapons,Scepters,Master Scepter,"type=2,index=9",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
35,GROUP 1 -- Weapons,Scepters,Great Scepter,"type=2,index=10",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
36,GROUP 1 -- Weapons,Scepters,Lord Scepter,"type=2,index=11",WCoinC=25000 / WCoinP=30 / GoblinPoint=10,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
37,GROUP 1 -- Weapons,Spears,Light Spear,"type=3,index=0",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
38,GROUP 1 -- Weapons,Spears,Spear,"type=3,index=1",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
39,GROUP 1 -- Weapons,Spears,Dragon Lance,"type=3,index=2",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
40,GROUP 1 -- Weapons,Spears,Giant Trident,"type=3,index=3",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
41,GROUP 1 -- Weapons,Spears,Serpent Spear,"type=3,index=4",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
42,GROUP 1 -- Weapons,Spears,Double Poleaxe,"type=3,index=5",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
43,GROUP 1 -- Weapons,Spears,Halberd,"type=3,index=6",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
44,GROUP 1 -- Weapons,Spears,Berdysh,"type=3,index=7",WCoinC=0 / WCoinP=100 / GoblinPoint=0,Permanent,+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
