"codigo","chave","nome","categoria","familia","classes","nivel_item","atributos","requisitos","descricao","loja_oficial","marketplace","motivo_comercial"
"10","0-10","Light Saber","Espadas","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","40","dano 47-61, velocidade de ataque 25, durabilidade 50","força 80, agilidade 60","Light Saber é um item da família arma, catalogado em Espadas. A configuração atual registra dano 47-61, velocidade de ataque 25, durabilidade 50. Requisitos: força 80, agilidade 60. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"11","0-11","Legendary Sword","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","44","dano 56-72, velocidade de ataque 20, durabilidade 54","força 120","Legendary Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 56-72, velocidade de ataque 20, durabilidade 54. Requisitos: força 120. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"12","0-12","Heliacal Sword","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","56","dano 73-98, velocidade de ataque 25, durabilidade 66","força 140","Heliacal Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 73-98, velocidade de ataque 25, durabilidade 66. Requisitos: força 140. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"13","0-13","Double Blade","Espadas","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","48","dano 48-56, velocidade de ataque 30, durabilidade 43","força 70, agilidade 70","Double Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 48-56, velocidade de ataque 30, durabilidade 43. Requisitos: força 70, agilidade 70. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"14","0-14","Lighting Sword","Espadas","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","59","dano 59-67, velocidade de ataque 30, durabilidade 50","força 90, agilidade 50","Lighting Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 59-67, velocidade de ataque 30, durabilidade 50. Requisitos: força 90, agilidade 50. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"15","0-15","Giant Sword","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","52","dano 60-85, velocidade de ataque 20, durabilidade 60","força 140","Giant Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 60-85, velocidade de ataque 20, durabilidade 60. Requisitos: força 140. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"16","0-16","Sword of Destruction","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","82","dano 82-90, velocidade de ataque 35, durabilidade 84","força 160, agilidade 60","Sword of Destruction é um item da família arma, catalogado em Espadas. A configuração atual registra dano 82-90, velocidade de ataque 35, durabilidade 84. Requisitos: força 160, agilidade 60. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"17","0-17","Dark Breaker","Espadas","Arma","Dark Knight (segunda classe)","104","dano 128-153, velocidade de ataque 40, durabilidade 89","força 180, agilidade 50","Dark Breaker é um item da família arma, catalogado em Espadas. A configuração atual registra dano 128-153, velocidade de ataque 40, durabilidade 89. Requisitos: força 180, agilidade 50. Uso permitido: Dark Knight (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"18","0-18","Thunder Blade","Espadas","Arma","Magic Gladiator (classe inicial)","105","dano 140-168, velocidade de ataque 40, durabilidade 86","força 180, agilidade 50","Thunder Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 140-168, velocidade de ataque 40, durabilidade 86. Requisitos: força 180, agilidade 50. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"19","0-19","Divine Sword of Archangel","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","86","dano 220-230, velocidade de ataque 45, durabilidade 168","força 140, agilidade 50","Divine Sword of Archangel é um item da família arma, catalogado em Espadas. A configuração atual registra dano 220-230, velocidade de ataque 45, durabilidade 168. Requisitos: força 140, agilidade 50. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"20","0-20","Knight Blade","Espadas","Arma","Dark Knight (segunda classe)","140","dano 107-115, velocidade de ataque 35, durabilidade 90","força 116, agilidade 38","Knight Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 107-115, velocidade de ataque 35, durabilidade 90. Requisitos: força 116, agilidade 38. Uso permitido: Dark Knight (segunda classe). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"21","0-21","Dark Reign Blade","Espadas","Arma","Magic Gladiator (classe inicial)","140","dano 115-142, poder mágico 115, velocidade de ataque 40, durabilidade 100","força 116, agilidade 53, energia 9","Dark Reign Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 115-142, poder mágico 115, velocidade de ataque 40, durabilidade 100. Requisitos: força 116, agilidade 53, energia 9. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"22","0-22","Bone Blade","Espadas","Arma","Dark Knight (segunda classe)","147","dano 122-135, velocidade de ataque 40, durabilidade 95","nível 380, força 100, agilidade 35","Bone Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 122-135, velocidade de ataque 40, durabilidade 95. Requisitos: nível 380, força 100, agilidade 35. Uso permitido: Dark Knight (segunda classe). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"23","0-23","Explosion Blade","Espadas","Arma","Magic Gladiator (classe inicial)","147","dano 127-155, poder mágico 134, velocidade de ataque 45, durabilidade 110","nível 380, força 98, agilidade 48, energia 7","Explosion Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 127-155, poder mágico 134, velocidade de ataque 45, durabilidade 110. Requisitos: nível 380, força 98, agilidade 48, energia 7. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"24","0-24","Daybreak","Espadas","Arma","Dark Knight (segunda classe)","115","dano 182-218, velocidade de ataque 40, durabilidade 90","força 192, agilidade 30","Daybreak é um item da família arma, catalogado em Espadas. A configuração atual registra dano 182-218, velocidade de ataque 40, durabilidade 90. Requisitos: força 192, agilidade 30. Uso permitido: Dark Knight (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"25","0-25","Sword Dancer","Espadas","Arma","Magic Gladiator (classe inicial)","115","dano 109-136, poder mágico 108, velocidade de ataque 40, durabilidade 90","força 136, agilidade 57, energia 9","Sword Dancer é um item da família arma, catalogado em Espadas. A configuração atual registra dano 109-136, poder mágico 108, velocidade de ataque 40, durabilidade 90. Requisitos: força 136, agilidade 57, energia 9. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"26","0-26","Flameberge","Espadas","Arma","Dark Knight (segunda classe)","137","dano 115-126, velocidade de ataque 40, durabilidade 90","nível 380, força 193, agilidade 53","Flameberge é um item da família arma, catalogado em Espadas. A configuração atual registra dano 115-126, velocidade de ataque 40, durabilidade 90. Requisitos: nível 380, força 193, agilidade 53. Uso permitido: Dark Knight (segunda classe). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"27","0-27","Sword Breaker","Espadas","Arma","Dark Knight (segunda classe)","133","dano 91-99, velocidade de ataque 35, durabilidade 90","nível 380, força 53, agilidade 176","Sword Breaker é um item da família arma, catalogado em Espadas. A configuração atual registra dano 91-99, velocidade de ataque 35, durabilidade 90. Requisitos: nível 380, força 53, agilidade 176. Uso permitido: Dark Knight (segunda classe). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"28","0-28","Rune Bastard Sword","Espadas","Arma","Magic Gladiator (classe inicial)","139","dano 98-122, poder mágico 109, velocidade de ataque 45, durabilidade 90","nível 380, força 91, agilidade 73, energia 17","Rune Bastard Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 98-122, poder mágico 109, velocidade de ataque 45, durabilidade 90. Requisitos: nível 380, força 91, agilidade 73, energia 17. Uso permitido: Magic Gladiator (classe inicial). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"31","0-31","Rune Blade","Espadas","Arma","Magic Gladiator (classe inicial)","100","dano 104-130, poder mágico 104, velocidade de ataque 35, durabilidade 93","força 135, agilidade 62, energia 9","Rune Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 104-130, poder mágico 104, velocidade de ataque 35, durabilidade 93. Requisitos: força 135, agilidade 62, energia 9. Uso permitido: Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"32","0-32","Sacred Glove","Espadas","Arma","Rage Fighter (classe inicial)","52","dano 52-58, velocidade de ataque 25, durabilidade 65","força 85, agilidade 35","Sacred Glove é um item da família arma, catalogado em Espadas. A configuração atual registra dano 52-58, velocidade de ataque 25, durabilidade 65. Requisitos: força 85, agilidade 35. Uso permitido: Rage Fighter (classe inicial). Ocupa 1x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"33","0-33","Holy Storm Claw","Espadas","Arma","Rage Fighter (classe inicial)","82","dano 82-88, velocidade de ataque 30, durabilidade 77","força 100, agilidade 50","Holy Storm Claw é um item da família arma, catalogado em Espadas. A configuração atual registra dano 82-88, velocidade de ataque 30, durabilidade 77. Requisitos: força 100, agilidade 50. Uso permitido: Rage Fighter (classe inicial). Ocupa 1x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"34","0-34","Piercing Blade Glove","Espadas","Arma","Rage Fighter (classe inicial)","105","dano 95-101, velocidade de ataque 35, durabilidade 86","força 120, agilidade 60","Piercing Blade Glove é um item da família arma, catalogado em Espadas. A configuração atual registra dano 95-101, velocidade de ataque 35, durabilidade 86. Requisitos: força 120, agilidade 60. Uso permitido: Rage Fighter (classe inicial). Ocupa 1x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"35","0-35","Phoenix Soul Star","Espadas","Arma","Rage Fighter (classe inicial)","147","dano 122-128, velocidade de ataque 40, durabilidade 98","nível 380, força 101, agilidade 51","Phoenix Soul Star é um item da família arma, catalogado em Espadas. A configuração atual registra dano 122-128, velocidade de ataque 40, durabilidade 98. Requisitos: nível 380, força 101, agilidade 51. Uso permitido: Rage Fighter (classe inicial). Ocupa 1x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"100","0-100","BloodMoon Sword","Espadas","Arma","Dark Knight (segunda classe)","147","dano 122-135, velocidade de ataque 40, durabilidade 95","nível 380, força 100, agilidade 35","BloodMoon Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 122-135, velocidade de ataque 40, durabilidade 95. Requisitos: nível 380, força 100, agilidade 35. Uso permitido: Dark Knight (segunda classe). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"101","0-101","BloodMoon Punho","Espadas","Arma","Rage Fighter (classe inicial)","105","dano 95-101, velocidade de ataque 35, durabilidade 86","força 120, agilidade 60","BloodMoon Punho é um item da família arma, catalogado em Espadas. A configuração atual registra dano 95-101, velocidade de ataque 35, durabilidade 86. Requisitos: força 120, agilidade 60. Uso permitido: Rage Fighter (classe inicial). Ocupa 1x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"512","1-0","Small Axe","Machados","Arma","Dark Wizard (classe inicial); Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial); Summoner (classe inicial); Rage Fighter (classe inicial)","1","dano 1-6, velocidade de ataque 20, durabilidade 18","força 50","Small Axe é um item da família arma, catalogado em Machados. A configuração atual registra dano 1-6, velocidade de ataque 20, durabilidade 18. Requisitos: força 50. Uso permitido: Dark Wizard (classe inicial), Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial), Summoner (classe inicial), Rage Fighter (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"513","1-1","Hand Axe","Machados","Arma","Dark Wizard (classe inicial); Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial); Summoner (classe inicial); Rage Fighter (classe inicial)","4","dano 4-9, velocidade de ataque 30, durabilidade 20","força 70","Hand Axe é um item da família arma, catalogado em Machados. A configuração atual registra dano 4-9, velocidade de ataque 30, durabilidade 20. Requisitos: força 70. Uso permitido: Dark Wizard (classe inicial), Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial), Summoner (classe inicial), Rage Fighter (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"514","1-2","Double Axe","Machados","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","14","dano 14-24, velocidade de ataque 20, durabilidade 26","força 90","Double Axe é um item da família arma, catalogado em Machados. A configuração atual registra dano 14-24, velocidade de ataque 20, durabilidade 26. Requisitos: força 90. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"515","1-3","Tomahawk","Machados","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial); Rage Fighter (classe inicial)","18","dano 18-28, velocidade de ataque 30, durabilidade 28","força 100","Tomahawk é um item da família arma, catalogado em Machados. A configuração atual registra dano 18-28, velocidade de ataque 30, durabilidade 28. Requisitos: força 100. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial), Rage Fighter (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"516","1-4","Elven Axe","Machados","Arma","Dark Wizard (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Summoner (classe inicial)","26","dano 26-38, velocidade de ataque 40, durabilidade 32","força 50, agilidade 70","Elven Axe é um item da família arma, catalogado em Machados. A configuração atual registra dano 26-38, velocidade de ataque 40, durabilidade 32. Requisitos: força 50, agilidade 70. Uso permitido: Dark Wizard (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Summoner (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"517","1-5","Battle Axe","Machados","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","30","dano 36-44, velocidade de ataque 20, durabilidade 36","força 120","Battle Axe é um item da família arma, catalogado em Machados. A configuração atual registra dano 36-44, velocidade de ataque 20, durabilidade 36. Requisitos: força 120. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"518","1-6","Nikea Axe","Machados","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","34","dano 38-50, velocidade de ataque 30, durabilidade 44","força 130","Nikea Axe é um item da família arma, catalogado em Machados. A configuração atual registra dano 38-50, velocidade de ataque 30, durabilidade 44. Requisitos: força 130. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"519","1-7","Larkan Axe","Machados","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","46","dano 54-67, velocidade de ataque 25, durabilidade 55","força 140","Larkan Axe é um item da família arma, catalogado em Machados. A configuração atual registra dano 54-67, velocidade de ataque 25, durabilidade 55. Requisitos: força 140. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
